filenames,animate,body_parts,human,mammal,non_mammal,inanimate,natural,food,fruit,vegetable,other_food,plants,other_natural,artificial,artificial_small,tools,artificial_small_other,artificial_large,furniture,vehicles,outside_large,cat_id
mouth_01b.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
mouth_02s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
mouth_03s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
mouth_04s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
mouth_05s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
mouth_06s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
mouth_07s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
mouth_08s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
mouth_09s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
mouth_10s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
leg_01b.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
leg_02s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
leg_03s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
leg_04s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
leg_05s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
leg_06s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
leg_08s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
leg_09s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
leg_11s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
leg_12s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
hand_01b.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
hand_02s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
hand_03s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
hand_04s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
hand_05s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
hand_06s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
hand_07s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
hand_08s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
hand_10s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
hand_11s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
elbow_01b.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
elbow_02s.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
